cod;nome;período;valor
22;PI;1996;0
23;CE;1996;0
43;RS;1996;0
25;PB;1996;0
27;AL;1996;0
16;AP;1996;0
33;RJ;1996;1
11;RO;1996;0
13;AM;1996;0
51;MT;1996;0
32;ES;1996;0
41;PR;1996;0
15;PA;1996;1
42;SC;1996;1
14;RR;1996;0
53;DF;1996;0
28;SE;1996;0
50;MS;1996;0
21;MA;1996;0
35;SP;1996;1553
17;TO;1996;0
24;RN;1996;0
29;BA;1996;0
12;AC;1996;1
52;GO;1996;0
31;MG;1996;2
26;PE;1996;1
25;PB;1997;26
24;RN;1997;54
35;SP;1997;2671
23;CE;1997;55
53;DF;1997;73
43;RS;1997;1081
14;RR;1997;5
28;SE;1997;14
50;MS;1997;3
16;AP;1997;13
41;PR;1997;328
42;SC;1997;111
33;RJ;1997;2217
11;RO;1997;32
27;AL;1997;43
21;MA;1997;33
13;AM;1997;36
31;MG;1997;262
52;GO;1997;68
51;MT;1997;91
32;ES;1997;105
29;BA;1997;14
22;PI;1997;13
12;AC;1997;7
26;PE;1997;313
15;PA;1997;28
17;TO;1997;21
15;PA;1998;56
42;SC;1998;179
26;PE;1998;485
41;PR;1998;827
14;RR;1998;20
11;RO;1998;72
29;BA;1998;44
51;MT;1998;176
23;CE;1998;97
28;SE;1998;12
21;MA;1998;29
17;TO;1998;33
31;MG;1998;363
25;PB;1998;25
12;AC;1998;10
50;MS;1998;10
24;RN;1998;37
33;RJ;1998;2246
53;DF;1998;73
35;SP;1998;6291
52;GO;1998;71
16;AP;1998;8
32;ES;1998;156
13;AM;1998;26
43;RS;1998;1019
27;AL;1998;47
22;PI;1998;15
23;CE;1999;145
25;PB;1999;34
11;RO;1999;96
29;BA;1999;88
51;MT;1999;200
12;AC;1999;12
50;MS;1999;137
35;SP;1999;7723
13;AM;1999;33
43;RS;1999;1039
52;GO;1999;148
14;RR;1999;49
42;SC;1999;217
41;PR;1999;1025
22;PI;1999;18
15;PA;1999;66
32;ES;1999;208
53;DF;1999;83
16;AP;1999;10
31;MG;1999;368
33;RJ;1999;2212
17;TO;1999;43
21;MA;1999;37
28;SE;1999;32
26;PE;1999;528
24;RN;1999;50
27;AL;1999;47
15;PA;2000;88
33;RJ;2000;2447
31;MG;2000;541
29;BA;2000;79
16;AP;2000;12
51;MT;2000;303
12;AC;2000;44
50;MS;2000;259
35;SP;2000;8110
42;SC;2000;292
21;MA;2000;56
11;RO;2000;109
41;PR;2000;1242
52;GO;2000;269
23;CE;2000;182
28;SE;2000;62
53;DF;2000;97
25;PB;2000;52
27;AL;2000;92
14;RR;2000;18
43;RS;2000;1216
13;AM;2000;42
24;RN;2000;50
32;ES;2000;237
26;PE;2000;476
22;PI;2000;33
17;TO;2000;52
41;PR;2001;1469
22;PI;2001;34
15;PA;2001;96
35;SP;2001;8301
43;RS;2001;1342
52;GO;2001;306
13;AM;2001;50
25;PB;2001;47
16;AP;2001;13
11;RO;2001;178
32;ES;2001;222
50;MS;2001;265
31;MG;2001;673
12;AC;2001;31
17;TO;2001;60
27;AL;2001;95
21;MA;2001;81
33;RJ;2001;2306
28;SE;2001;80
51;MT;2001;276
23;CE;2001;164
29;BA;2001;132
24;RN;2001;58
14;RR;2001;21
26;PE;2001;491
42;SC;2001;320
53;DF;2001;87
50;MS;2002;284
