cod;nome;período;valor
22;PI;1996;0
23;CE;1996;0
43;RS;1996;0
25;PB;1996;0
27;AL;1996;0
16;AP;1996;0
33;RJ;1996;0
11;RO;1996;0
13;AM;1996;0
51;MT;1996;0
32;ES;1996;0
41;PR;1996;0
15;PA;1996;0
42;SC;1996;0
14;RR;1996;0
53;DF;1996;0
28;SE;1996;0
50;MS;1996;0
21;MA;1996;0
35;SP;1996;335
17;TO;1996;0
24;RN;1996;0
29;BA;1996;0
12;AC;1996;0
52;GO;1996;0
31;MG;1996;0
26;PE;1996;0
25;PB;1997;67
24;RN;1997;118
35;SP;1997;2055
23;CE;1997;278
53;DF;1997;388
43;RS;1997;232
14;RR;1997;13
28;SE;1997;47
50;MS;1997;1
16;AP;1997;73
41;PR;1997;66
42;SC;1997;10
33;RJ;1997;3940
11;RO;1997;47
27;AL;1997;124
21;MA;1997;170
13;AM;1997;353
31;MG;1997;519
52;GO;1997;121
51;MT;1997;212
32;ES;1997;262
29;BA;1997;120
22;PI;1997;76
12;AC;1997;3
26;PE;1997;586
15;PA;1997;237
17;TO;1997;29
15;PA;1998;472
42;SC;1998;34
26;PE;1998;1106
41;PR;1998;232
14;RR;1998;91
11;RO;1998;105
29;BA;1998;248
51;MT;1998;364
23;CE;1998;305
28;SE;1998;79
21;MA;1998;177
17;TO;1998;53
31;MG;1998;700
25;PB;1998;82
12;AC;1998;21
50;MS;1998;8
24;RN;1998;119
33;RJ;1998;3631
53;DF;1998;415
35;SP;1998;5434
52;GO;1998;180
16;AP;1998;134
32;ES;1998;328
13;AM;1998;404
43;RS;1998;231
27;AL;1998;216
22;PI;1998;78
23;CE;1999;518
25;PB;1999;111
11;RO;1999;153
29;BA;1999;305
51;MT;1999;387
12;AC;1999;15
50;MS;1999;124
35;SP;1999;6182
13;AM;1999;422
43;RS;1999;249
52;GO;1999;245
14;RR;1999;82
42;SC;1999;44
41;PR;1999;262
22;PI;1999;85
15;PA;1999;462
32;ES;1999;554
53;DF;1999;440
16;AP;1999;163
31;MG;1999;732
33;RJ;1999;3726
17;TO;1999;60
21;MA;1999;135
28;SE;1999;101
26;PE;1999;2186
24;RN;1999;122
27;AL;1999;338
15;PA;2000;603
33;RJ;2000;4003
31;MG;2000;1126
29;BA;2000;802
16;AP;2000;124
51;MT;2000;561
12;AC;2000;44
50;MS;2000;273
35;SP;2000;6029
42;SC;2000;47
21;MA;2000;230
11;RO;2000;230
41;PR;2000;331
52;GO;2000;472
23;CE;2000;656
28;SE;2000;171
53;DF;2000;533
25;PB;2000;351
27;AL;2000;487
14;RR;2000;89
43;RS;2000;250
13;AM;2000;454
24;RN;2000;161
32;ES;2000;624
26;PE;2000;3003
22;PI;2000;138
17;TO;2000;103
41;PR;2001;333
22;PI;2001;155
15;PA;2001;725
35;SP;2001;6096
43;RS;2001;300
52;GO;2001;606
13;AM;2001;371
25;PB;2001;298
16;AP;2001;155
11;RO;2001;275
32;ES;2001;680
50;MS;2001;277
31;MG;2001;1304
12;AC;2001;65
17;TO;2001;126
27;AL;2001;557
21;MA;2001;403
33;RJ;2001;4003
28;SE;2001;256
51;MT;2001;573
23;CE;2001;638
29;BA;2001;1130
24;RN;2001;204
14;RR;2001;76
26;PE;2001;3441
42;SC;2001;61
53;DF;2001;549
50;MS;2002;298
13;AM;2002;415
