cod;nome;período;valor
22;PI;1996;0
23;CE;1996;0
43;RS;1996;0
25;PB;1996;0
27;AL;1996;0
16;AP;1996;0
33;RJ;1996;0
11;RO;1996;0
13;AM;1996;0
51;MT;1996;0
32;ES;1996;0
41;PR;1996;0
15;PA;1996;0
42;SC;1996;0
14;RR;1996;0
53;DF;1996;0
28;SE;1996;0
50;MS;1996;0
21;MA;1996;0
35;SP;1996;143
17;TO;1996;0
24;RN;1996;0
29;BA;1996;0
12;AC;1996;0
52;GO;1996;0
31;MG;1996;0
26;PE;1996;0
25;PB;1997;1
24;RN;1997;12
35;SP;1997;274
23;CE;1997;7
53;DF;1997;10
43;RS;1997;144
14;RR;1997;1
28;SE;1997;3
50;MS;1997;0
16;AP;1997;2
41;PR;1997;36
42;SC;1997;12
33;RJ;1997;250
11;RO;1997;8
27;AL;1997;4
21;MA;1997;8
13;AM;1997;4
31;MG;1997;49
52;GO;1997;13
51;MT;1997;21
32;ES;1997;16
29;BA;1997;4
22;PI;1997;3
12;AC;1997;0
26;PE;1997;33
15;PA;1997;2
17;TO;1997;3
15;PA;1998;10
42;SC;1998;44
26;PE;1998;60
41;PR;1998;117
14;RR;1998;3
11;RO;1998;11
29;BA;1998;3
51;MT;1998;23
23;CE;1998;11
28;SE;1998;2
21;MA;1998;5
17;TO;1998;4
31;MG;1998;57
25;PB;1998;6
12;AC;1998;1
50;MS;1998;3
24;RN;1998;8
33;RJ;1998;202
53;DF;1998;13
35;SP;1998;573
52;GO;1998;12
16;AP;1998;3
32;ES;1998;22
13;AM;1998;2
43;RS;1998;137
27;AL;1998;8
22;PI;1998;5
23;CE;1999;19
25;PB;1999;13
11;RO;1999;12
29;BA;1999;9
51;MT;1999;23
12;AC;1999;3
50;MS;1999;19
35;SP;1999;644
13;AM;1999;4
43;RS;1999;134
52;GO;1999;40
14;RR;1999;8
42;SC;1999;42
41;PR;1999;126
22;PI;1999;0
15;PA;1999;1
32;ES;1999;22
53;DF;1999;15
16;AP;1999;1
31;MG;1999;69
33;RJ;1999;232
17;TO;1999;3
21;MA;1999;3
28;SE;1999;7
26;PE;1999;55
24;RN;1999;7
27;AL;1999;7
15;PA;2000;7
33;RJ;2000;246
31;MG;2000;102
29;BA;2000;15
16;AP;2000;0
51;MT;2000;33
12;AC;2000;5
50;MS;2000;38
35;SP;2000;740
42;SC;2000;40
21;MA;2000;4
11;RO;2000;14
41;PR;2000;137
52;GO;2000;51
23;CE;2000;29
28;SE;2000;5
53;DF;2000;7
25;PB;2000;7
27;AL;2000;10
14;RR;2000;10
43;RS;2000;147
13;AM;2000;6
24;RN;2000;11
32;ES;2000;23
26;PE;2000;70
22;PI;2000;3
17;TO;2000;5
41;PR;2001;169
22;PI;2001;7
15;PA;2001;20
35;SP;2001;699
43;RS;2001;156
52;GO;2001;42
13;AM;2001;8
25;PB;2001;9
16;AP;2001;2
11;RO;2001;23
32;ES;2001;33
50;MS;2001;29
31;MG;2001;94
12;AC;2001;4
17;TO;2001;9
27;AL;2001;11
21;MA;2001;16
33;RJ;2001;206
28;SE;2001;6
51;MT;2001;33
23;CE;2001;21
29;BA;2001;13
24;RN;2001;5
14;RR;2001;1
26;PE;2001;55
42;SC;2001;41
53;DF;2001;8
50;MS;2002;41
13;AM;2002;7
53;DF;2002;13
