cod;nome;período;valor
22;PI;1996;0
23;CE;1996;0
43;RS;1996;0
25;PB;1996;0
27;AL;1996;0
16;AP;1996;0
33;RJ;1996;0
11;RO;1996;0
13;AM;1996;0
51;MT;1996;0
32;ES;1996;0
41;PR;1996;0
15;PA;1996;0
42;SC;1996;0
14;RR;1996;0
53;DF;1996;0
28;SE;1996;0
50;MS;1996;0
21;MA;1996;0
35;SP;1996;24
17;TO;1996;0
24;RN;1996;0
29;BA;1996;0
12;AC;1996;0
52;GO;1996;0
31;MG;1996;0
26;PE;1996;0
25;PB;1997;8
24;RN;1997;10
35;SP;1997;151
23;CE;1997;20
53;DF;1997;31
43;RS;1997;23
14;RR;1997;2
28;SE;1997;3
50;MS;1997;0
16;AP;1997;7
41;PR;1997;4
42;SC;1997;1
33;RJ;1997;294
11;RO;1997;4
27;AL;1997;8
21;MA;1997;18
13;AM;1997;25
31;MG;1997;60
52;GO;1997;16
51;MT;1997;23
32;ES;1997;20
29;BA;1997;11
22;PI;1997;8
12;AC;1997;3
26;PE;1997;37
15;PA;1997;23
17;TO;1997;4
15;PA;1998;45
42;SC;1998;2
26;PE;1998;65
41;PR;1998;22
14;RR;1998;9
11;RO;1998;7
29;BA;1998;24
51;MT;1998;46
23;CE;1998;11
28;SE;1998;5
21;MA;1998;18
17;TO;1998;12
31;MG;1998;92
25;PB;1998;5
12;AC;1998;1
50;MS;1998;2
24;RN;1998;7
33;RJ;1998;255
53;DF;1998;37
35;SP;1998;351
52;GO;1998;12
16;AP;1998;9
32;ES;1998;32
13;AM;1998;45
43;RS;1998;30
27;AL;1998;18
22;PI;1998;12
23;CE;1999;34
25;PB;1999;7
11;RO;1999;15
29;BA;1999;41
51;MT;1999;34
12;AC;1999;2
50;MS;1999;13
35;SP;1999;412
13;AM;1999;45
43;RS;1999;21
52;GO;1999;28
14;RR;1999;6
42;SC;1999;1
41;PR;1999;30
22;PI;1999;6
15;PA;1999;31
32;ES;1999;45
53;DF;1999;40
16;AP;1999;16
31;MG;1999;110
33;RJ;1999;265
17;TO;1999;9
21;MA;1999;14
28;SE;1999;12
26;PE;1999;143
24;RN;1999;13
27;AL;1999;30
15;PA;2000;55
33;RJ;2000;265
31;MG;2000;125
29;BA;2000;90
16;AP;2000;4
51;MT;2000;47
12;AC;2000;7
50;MS;2000;30
35;SP;2000;378
42;SC;2000;9
21;MA;2000;24
11;RO;2000;22
41;PR;2000;22
52;GO;2000;53
23;CE;2000;51
28;SE;2000;15
53;DF;2000;32
25;PB;2000;32
27;AL;2000;46
14;RR;2000;12
43;RS;2000;22
13;AM;2000;28
24;RN;2000;10
32;ES;2000;49
26;PE;2000;202
22;PI;2000;8
17;TO;2000;10
41;PR;2001;24
22;PI;2001;24
15;PA;2001;74
35;SP;2001;379
43;RS;2001;17
52;GO;2001;61
13;AM;2001;45
25;PB;2001;31
16;AP;2001;9
11;RO;2001;35
32;ES;2001;58
50;MS;2001;31
31;MG;2001;119
12;AC;2001;5
17;TO;2001;14
27;AL;2001;31
21;MA;2001;36
33;RJ;2001;306
28;SE;2001;15
51;MT;2001;56
23;CE;2001;58
29;BA;2001;81
24;RN;2001;17
14;RR;2001;6
26;PE;2001;206
42;SC;2001;7
53;DF;2001;34
50;MS;2002;35
13;AM;2002;27
53;DF;2002;36
