cod;nome;período;valor
35;SP;1980;43.52
41;PR;1980;26.21
42;SC;1980;18.1
43;RS;1980;22.96
50;MS;1980;37.56
51;MT;1980;7
52;GO;1980;27.6
53;DF;1980;36.83
17;TO;1980;0
21;MA;1980;6.63
22;PI;1980;9.12
23;CE;1980;26.68
24;RN;1980;30.41
25;PB;1980;31.8
26;PE;1980;57.41
27;AL;1980;44.37
28;SE;1980;17.96
29;BA;1980;9.16
31;MG;1980;22.54
32;ES;1980;36.29
33;RJ;1980;91.96
11;RO;1980;53.48
12;AC;1980;33.73
13;AM;1980;32.71
14;RR;1980;25.86
15;PA;1980;30.13
16;AP;1980;26.28
53;DF;1981;38.06
22;PI;1981;8.92
21;MA;1981;11.08
17;TO;1981;0
16;AP;1981;36.59
15;PA;1981;29.15
14;RR;1981;55.5
13;AM;1981;35.59
11;RO;1981;48
24;RN;1981;26.37
25;PB;1981;33.44
26;PE;1981;71.31
27;AL;1981;46.43
28;SE;1981;21.32
12;AC;1981;30.44
29;BA;1981;8.93
31;MG;1981;20.63
32;ES;1981;47.06
33;RJ;1981;74.79
35;SP;1981;55.56
41;PR;1981;28.82
42;SC;1981;17.88
43;RS;1981;25.56
50;MS;1981;38.68
51;MT;1981;17.91
52;GO;1981;44.22
23;CE;1981;27.9
15;PA;1982;29.12
53;DF;1982;51
52;GO;1982;43.08
51;MT;1982;8.61
50;MS;1982;43.4
43;RS;1982;26.08
42;SC;1982;14.19
41;PR;1982;35.74
35;SP;1982;52.56
33;RJ;1982;65.14
32;ES;1982;42.86
31;MG;1982;19.66
29;BA;1982;12.59
28;SE;1982;22.37
27;AL;1982;56.37
26;PE;1982;73.85
25;PB;1982;28.62
24;RN;1982;32.41
23;CE;1982;28.13
22;PI;1982;11.17
21;MA;1982;11.22
17;TO;1982;0
16;AP;1982;34.31
14;RR;1982;59
13;AM;1982;31.66
12;AC;1982;36.15
11;RO;1982;28.7
17;TO;1983;0
16;AP;1983;68.2
15;PA;1983;39.3
14;RR;1983;41
13;AM;1983;37.4
12;AC;1983;34.9
11;RO;1983;42
21;MA;1983;9.7
22;PI;1983;13
23;CE;1983;36.2
24;RN;1983;22.9
25;PB;1983;38.3
26;PE;1983;84
27;AL;1983;72.9
28;SE;1983;20.9
29;BA;1983;9.4
31;MG;1983;15.7
32;ES;1983;41.2
33;RJ;1983;52.2
35;SP;1983;72.9
41;PR;1983;34.9
42;SC;1983;17.2
43;RS;1983;25
50;MS;1983;46.1
51;MT;1983;19.5
52;GO;1983;43
53;DF;1983;45.5
41;PR;1984;37.31
43;RS;1984;25.91
50;MS;1984;56.26
51;MT;1984;25.45
52;GO;1984;34.18
53;DF;1984;37.87
11;RO;1984;73.2
12;AC;1984;27.45
13;AM;1984;46.99
14;RR;1984;40.86
15;PA;1984;38.03
16;AP;1984;47.46
17;TO;1984;0
21;MA;1984;11.12
22;PI;1984;11.36
23;CE;1984;36.93
24;RN;1984;22.22
25;PB;1984;36.84
26;PE;1984;94.1
27;AL;1984;64.32
28;SE;1984;9.46
29;BA;1984;13.5
31;MG;1984;18.46
32;ES;1984;42.98
33;RJ;1984;68.32
35;SP;1984;93.51
42;SC;1984;16.95
52;GO;1985;35.45
11;RO;1985;87.69
12;AC;1985;55.21
13;AM;1985;34.46
14;RR;1985;12.22
15;PA;1985;34.57
16;AP;1985;51.4
17;TO;1985;0
21;MA;1985;7.91
22;PI;1985;7.2
23;CE;1985;29.18
24;RN;1985;21.59
25;PB;1985;42.67
26;PE;1985;106.91
27;AL;1985;58.32
28;SE;1985;12.54
29;BA;1985;15.26
31;MG;1985;18.51
32;ES;1985;49.7
33;RJ;1985;76.08
35;SP;1985;94.64
41;PR;1985;29.15
42;SC;1985;16.88
43;RS;1985;23.97
50;MS;1985;40.21
51;MT;1985;34.16
53;DF;1985;62.7
21;MA;1986;18.44
17;TO;1986;0
16;AP;1986;45.81
15;PA;1986;37.7
14;RR;1986;29.57
13;AM;1986;35.14
12;AC;1986;47.59
11;RO;1986;104.04
53;DF;1986;56.42
52;GO;1986;37.6
51;MT;1986;43.97
50;MS;1986;47.52
43;RS;1986;27.11
42;SC;1986;16.17
41;PR;1986;32.25
35;SP;1986;97.99
33;RJ;1986;73.93
32;ES;1986;55.92
31;MG;1986;18.03
29;BA;1986;14.18
28;SE;1986;12.11
27;AL;1986;64.49
26;PE;1986;108.75
25;PB;1986;46.69
24;RN;1986;13.2
23;CE;1986;29.76
22;PI;1986;9.94
27;AL;1987;67.8
53;DF;1987;70.5
52;GO;1987;42.7
51;MT;1987;47.1
28;SE;1987;12.2
29;BA;1987;17.3
31;MG;1987;17.9
32;ES;1987;59.1
33;RJ;1987;117.4
35;SP;1987;103.7
41;PR;1987;30
22;PI;1987;10.4
23;CE;1987;23.6
21;MA;1987;18.6
17;TO;1987;0
16;AP;1987;26.2
15;PA;1987;31.6
14;RR;1987;10.2
13;AM;1987;39.2
12;AC;1987;80.9
11;RO;1987;108.1
42;SC;1987;18.7
43;RS;1987;29.2
50;MS;1987;40.7
24;RN;1987;18.1
25;PB;1987;38
26;PE;1987;115.3
14;RR;1988;65.7
13;AM;1988;40.5
12;AC;1988;58
11;RO;1988;98.8
53;DF;1988;71
52;GO;1988;50.5
51;MT;1988;50.1
50;MS;1988;46.5
43;RS;1988;42.1
42;SC;1988;18.1
41;PR;1988;34.5
35;SP;1988;95.2
33;RJ;1988;90.6
32;ES;1988;75.2
31;MG;1988;18.1
29;BA;1988;25.6
28;SE;1988;12.9
27;AL;1988;87
26;PE;1988;113.2
25;PB;1988;38.8
24;RN;1988;26.3
23;CE;1988;28.4
22;PI;1988;15.1
21;MA;1988;20.3
17;TO;1988;0
16;AP;1988;33.4
15;PA;1988;37
52;GO;1989;52.5
12;AC;1989;94.8
11;RO;1989;104.2
53;DF;1989;76.8
13;AM;1989;50.2
14;RR;1989;154.5
15;PA;1989;41.8
16;AP;1989;72.2
17;TO;1989;12.2
21;MA;1989;26.1
22;PI;1989;18.2
23;CE;1989;35
24;RN;1989;33.8
25;PB;1989;41.5
26;PE;1989;131.1
27;AL;1989;93.6
28;SE;1989;29.5
29;BA;1989;33.8
31;MG;1989;22.2
32;ES;1989;89.2
33;RJ;1989;128.5
35;SP;1989;120.6
41;PR;1989;38
42;SC;1989;23.8
43;RS;1989;62.3
50;MS;1989;59.4
51;MT;1989;57.3
