cod;nome;período;valor
43;RS;1989;5.13
42;SC;1989;2.35
41;PR;1989;3.68
35;SP;1989;7.75
33;RJ;1989;7.95
32;ES;1989;8.01
31;MG;1989;3.07
29;BA;1989;2.86
28;SE;1989;2.38
27;AL;1989;8.23
26;PE;1989;8.9
25;PB;1989;5.46
24;RN;1989;1.49
23;CE;1989;1.47
22;PI;1989;2.24
21;MA;1989;2.04
17;TO;1989;5.85
16;AP;1989;5.19
15;PA;1989;4.1
14;RR;1989;30.51
11;RO;1989;18.07
13;AM;1989;7.06
12;AC;1989;7.19
50;MS;1989;8.41
51;MT;1989;5.43
52;GO;1989;6.97
53;DF;1989;3.05
11;RO;1990;13.31
12;AC;1990;7
13;AM;1990;4.8
14;RR;1990;39.54
15;PA;1990;5.76
16;AP;1990;7.5
17;TO;1990;2.45
21;MA;1990;2.63
22;PI;1990;0.55
23;CE;1990;2.56
24;RN;1990;2.04
25;PB;1990;2.91
26;PE;1990;9.84
27;AL;1990;5.55
28;SE;1990;3.71
29;BA;1990;1.82
31;MG;1990;2.86
32;ES;1990;10.88
33;RJ;1990;12.18
35;SP;1990;7.75
41;PR;1990;4.38
42;SC;1990;2.78
43;RS;1990;4.95
50;MS;1990;7.46
51;MT;1990;5.56
52;GO;1990;5.33
53;DF;1990;6.34
11;RO;1991;6.57
12;AC;1991;10.19
13;AM;1991;3.31
14;RR;1991;16.85
15;PA;1991;5.14
16;AP;1991;4.79
17;TO;1991;2.4
21;MA;1991;4.11
22;PI;1991;1.62
23;CE;1991;2.41
24;RN;1991;2.56
25;PB;1991;2.86
26;PE;1991;9.58
27;AL;1991;5.13
28;SE;1991;5.86
29;BA;1991;1.72
31;MG;1991;2.7
32;ES;1991;9.62
33;RJ;1991;8.7
35;SP;1991;8.41
41;PR;1991;4.83
42;SC;1991;2.44
43;RS;1991;5.59
50;MS;1991;9.21
51;MT;1991;8.62
52;GO;1991;8.29
53;DF;1991;7.65
41;PR;1992;3.4
11;RO;1992;11.09
12;AC;1992;15.8
13;AM;1992;2.55
14;RR;1992;12.97
15;PA;1992;3.72
16;AP;1992;4.25
17;TO;1992;1.52
21;MA;1992;1.94
22;PI;1992;1.07
23;CE;1992;2.17
24;RN;1992;1.98
25;PB;1992;3.28
26;PE;1992;7.12
27;AL;1992;6.42
28;SE;1992;3.98
29;BA;1992;2.1
31;MG;1992;2.76
32;ES;1992;10.31
33;RJ;1992;7.06
35;SP;1992;6.28
42;SC;1992;1.86
43;RS;1992;5.2
50;MS;1992;10.67
51;MT;1992;5.6
52;GO;1992;8.28
53;DF;1992;4.97
11;RO;1993;12.53
12;AC;1993;4.86
13;AM;1993;5.33
14;RR;1993;9.13
15;PA;1993;3.13
16;AP;1993;4.49
17;TO;1993;5.29
21;MA;1993;2.21
22;PI;1993;2.09
23;CE;1993;3.19
24;RN;1993;2.47
25;PB;1993;2.15
26;PE;1993;8.98
27;AL;1993;3.9
28;SE;1993;3.46
29;BA;1993;2.64
31;MG;1993;2.67
32;ES;1993;12.88
33;RJ;1993;6.87
35;SP;1993;7.06
41;PR;1993;4.91
42;SC;1993;1.92
43;RS;1993;3.93
50;MS;1993;5.17
51;MT;1993;6.21
52;GO;1993;7.98
53;DF;1993;8.01
11;RO;1994;8.38
12;AC;1994;7.94
13;AM;1994;3.98
14;RR;1994;5.83
15;PA;1994;4.23
16;AP;1994;13.09
17;TO;1994;5.91
21;MA;1994;0.87
22;PI;1994;1.29
23;CE;1994;2.31
24;RN;1994;1.89
25;PB;1994;1.91
26;PE;1994;7.41
27;AL;1994;5.38
28;SE;1994;5.96
29;BA;1994;4.64
31;MG;1994;3.2
32;ES;1994;10.39
33;RJ;1994;9.93
35;SP;1994;7.89
41;PR;1994;4.24
42;SC;1994;2.76
43;RS;1994;4.44
53;DF;1994;7.18
50;MS;1994;8.71
51;MT;1994;1.2
52;GO;1994;5.54
26;PE;1995;8.8
11;RO;1995;5.05
12;AC;1995;7.79
13;AM;1995;6.29
14;RR;1995;13.99
15;PA;1995;3
16;AP;1995;4.25
17;TO;1995;2.91
21;MA;1995;2.72
22;PI;1995;2.3
23;CE;1995;1.87
24;RN;1995;2.39
25;PB;1995;7.79
27;AL;1995;7.32
28;SE;1995;4.6
29;BA;1995;3.18
31;MG;1995;2.23
32;ES;1995;14.21
33;RJ;1995;11.64
35;SP;1995;9.61
41;PR;1995;5.54
42;SC;1995;2.86
43;RS;1995;5.02
50;MS;1995;6.42
51;MT;1995;9.58
52;GO;1995;8.18
53;DF;1995;9.73
25;PB;1996;9.117
11;RO;1996;11.832
12;AC;1996;13.494
13;AM;1996;5.929
14;RR;1996;35.676
15;PA;1996;8.402
16;AP;1996;23.634
17;TO;1996;3.503
21;MA;1996;2.024
22;PI;1996;0.481
23;CE;1996;3.844
24;RN;1996;3.877
26;PE;1996;7.741
27;AL;1996;8.084
28;SE;1996;5.46
29;BA;1996;4.576
31;MG;1996;3.469
32;ES;1996;13.677
33;RJ;1996;14.945
35;SP;1996;9.462
41;PR;1996;6.484
42;SC;1996;4.49
43;RS;1996;6.975
50;MS;1996;11.548
51;MT;1996;11.098
52;GO;1996;8.559
53;DF;1996;8.834
52;GO;1997;4.91
11;RO;1997;13.45
12;AC;1997;8.03
13;AM;1997;7.24
14;RR;1997;22.07
15;PA;1997;6.32
16;AP;1997;9.11
17;TO;1997;4.9
21;MA;1997;2.45
22;PI;1997;1.15
23;CE;1997;3.69
24;RN;1997;2.81
53;DF;1997;6.96
25;PB;1997;4.49
26;PE;1997;9.37
27;AL;1997;9.05
28;SE;1997;4.06
29;BA;1997;4.71
31;MG;1997;3.21
32;ES;1997;14.99
33;RJ;1997;14.24
35;SP;1997;10.84
41;PR;1997;5.52
42;SC;1997;2.74
43;RS;1997;6.01
50;MS;1997;8.34
51;MT;1997;10.22
17;TO;1998;6.56
11;RO;1998;15.54
12;AC;1998;7.86
13;AM;1998;11.25
14;RR;1998;15.55
15;PA;1998;5.98
16;AP;1998;7.76
21;MA;1998;1.93
22;PI;1998;2.15
23;CE;1998;2.84
24;RN;1998;2.45
25;PB;1998;5.18
26;PE;1998;11.18
27;AL;1998;6.67
28;SE;1998;1.17
29;BA;1998;2.14
31;MG;1998;3.54
32;ES;1998;16.6
33;RJ;1998;12.66
35;SP;1998;10.66
41;PR;1998;5.48
42;SC;1998;4.21
43;RS;1998;6.16
50;MS;1998;13.67
51;MT;1998;12.26
52;GO;1998;3.51
53;DF;1998;8.02
11;RO;1999;9.553
12;AC;1999;5.836
13;AM;1999;6.614
14;RR;1999;9.864
15;PA;1999;2.289
16;AP;1999;15.621
17;TO;1999;6.841
21;MA;1999;0.932
22;PI;1999;1.01
23;CE;1999;3.388
24;RN;1999;1.565
25;PB;1999;2.72
26;PE;1999;11.489
27;AL;1999;5.175
28;SE;1999;6.851
29;BA;1999;1.738
31;MG;1999;4.103
42;SC;1999;2.73
32;ES;1999;15.076
33;RJ;1999;12.162
35;SP;1999;10.452
41;PR;1999;4.971
43;RS;1999;5.421
50;MS;1999;8.372
51;MT;1999;9.049
52;GO;1999;6.988
53;DF;1999;9.021
14;RR;2000;18.39
11;RO;2000;9.21
12;AC;2000;10.44
13;AM;2000;4.86
35;SP;2000;10.34
15;PA;2000;3.23
16;AP;2000;2.62
17;TO;2000;2.96
21;MA;2000;2.05
22;PI;2000;1.67
23;CE;2000;4.07
24;RN;2000;3.26
25;PB;2000;4.06
26;PE;2000;13.06
27;AL;2000;7.11
28;SE;2000;3.71
29;BA;2000;2.99
31;MG;2000;4.34
33;RJ;2000;11.35
32;ES;2000;11.55
53;DF;2000;5.42
52;GO;2000;8.69
51;MT;2000;7.02
50;MS;2000;11.17
43;RS;2000;4.1
42;SC;2000;2.48
41;PR;2000;4.49
32;ES;2001;13.12
31;MG;2001;4.04
29;BA;2001;1.94
28;SE;2001;2.55
27;AL;2001;5.36
26;PE;2001;10.7
25;PB;2001;4.78
12;AC;2001;9.04
24;RN;2001;3.92
23;CE;2001;4.35
22;PI;2001;4.66
21;MA;2001;2.92
17;TO;2001;5.75
16;AP;2001;8.83
11;RO;2001;15.19
15;PA;2001;4.83
14;RR;2001;5.89
13;AM;2001;6.07
53;DF;2001;7.9
52;GO;2001;7.63
51;MT;2001;11.41
50;MS;2001;10.67
